Fluxo máximo: 1058
1-->105 / capacidade = 9, fluxo = 9
1-->237 / capacidade = 1, fluxo = 1
1-->646 / capacidade = 15, fluxo = 15
1-->828 / capacidade = 5, fluxo = 5
1-->924 / capacidade = 4, fluxo = 4
1-->995 / capacidade = 17, fluxo = 17
1-->1040 / capacidade = 16, fluxo = 16
1-->1080 / capacidade = 6, fluxo = 6
1-->1097 / capacidade = 12, fluxo = 12
1-->1354 / capacidade = 5, fluxo = 5
1-->1572 / capacidade = 7, fluxo = 7
1-->1740 / capacidade = 16, fluxo = 16
1-->1932 / capacidade = 10, fluxo = 10
1-->1946 / capacidade = 16, fluxo = 16
1-->2091 / capacidade = 16, fluxo = 16
1-->2127 / capacidade = 8, fluxo = 8
1-->2203 / capacidade = 6, fluxo = 6
1-->2218 / capacidade = 9, fluxo = 9
1-->2244 / capacidade = 2, fluxo = 2
1-->2254 / capacidade = 11, fluxo = 11
1-->2280 / capacidade = 6, fluxo = 6
1-->2504 / capacidade = 13, fluxo = 13
1-->2535 / capacidade = 13, fluxo = 13
1-->2571 / capacidade = 4, fluxo = 4
1-->2586 / capacidade = 2, fluxo = 2
1-->2587 / capacidade = 2, fluxo = 2
1-->2591 / capacidade = 20, fluxo = 20
1-->2611 / capacidade = 19, fluxo = 19
1-->2827 / capacidade = 2, fluxo = 2
1-->2844 / capacidade = 9, fluxo = 9
1-->3067 / capacidade = 13, fluxo = 13
1-->3276 / capacidade = 8, fluxo = 8
1-->3437 / capacidade = 8, fluxo = 8
1-->3499 / capacidade = 17, fluxo = 17
1-->3771 / capacidade = 9, fluxo = 9
1-->3784 / capacidade = 10, fluxo = 10
1-->3806 / capacidade = 11, fluxo = 11
1-->3843 / capacidade = 10, fluxo = 10
1-->3909 / capacidade = 11, fluxo = 11
1-->4004 / capacidade = 3, fluxo = 3
1-->4052 / capacidade = 4, fluxo = 4
1-->4290 / capacidade = 1, fluxo = 1
1-->4637 / capacidade = 15, fluxo = 15
1-->4723 / capacidade = 12, fluxo = 12
1-->4750 / capacidade = 20, fluxo = 20
1-->4795 / capacidade = 8, fluxo = 8
1-->4834 / capacidade = 13, fluxo = 13
1-->4863 / capacidade = 1, fluxo = 1
1-->4918 / capacidade = 9, fluxo = 9
1-->4943 / capacidade = 1, fluxo = 1
1-->5001 / capacidade = 15, fluxo = 15
1-->5135 / capacidade = 12, fluxo = 12
1-->5153 / capacidade = 17, fluxo = 17
1-->5163 / capacidade = 15, fluxo = 15
1-->5191 / capacidade = 2, fluxo = 2
1-->5279 / capacidade = 14, fluxo = 14
1-->5394 / capacidade = 4, fluxo = 4
1-->5449 / capacidade = 15, fluxo = 15
1-->5615 / capacidade = 20, fluxo = 20
1-->5616 / capacidade = 2, fluxo = 2
1-->5654 / capacidade = 12, fluxo = 12
1-->5670 / capacidade = 9, fluxo = 9
1-->5868 / capacidade = 14, fluxo = 14
1-->5897 / capacidade = 3, fluxo = 3
1-->5948 / capacidade = 18, fluxo = 18
1-->6033 / capacidade = 8, fluxo = 8
1-->6039 / capacidade = 1, fluxo = 1
1-->6077 / capacidade = 6, fluxo = 6
1-->6289 / capacidade = 14, fluxo = 14
1-->6315 / capacidade = 15, fluxo = 15
1-->6321 / capacidade = 3, fluxo = 3
1-->6641 / capacidade = 16, fluxo = 16
1-->6700 / capacidade = 10, fluxo = 10
1-->6825 / capacidade = 2, fluxo = 2
1-->6871 / capacidade = 6, fluxo = 6
1-->6962 / capacidade = 5, fluxo = 5
1-->7112 / capacidade = 17, fluxo = 17
1-->7132 / capacidade = 14, fluxo = 14
1-->7390 / capacidade = 13, fluxo = 13
1-->7397 / capacidade = 13, fluxo = 13
1-->7689 / capacidade = 18, fluxo = 18
1-->7800 / capacidade = 11, fluxo = 11
1-->7848 / capacidade = 12, fluxo = 12
1-->7906 / capacidade = 15, fluxo = 15
1-->7922 / capacidade = 8, fluxo = 8
1-->7956 / capacidade = 1, fluxo = 1
1-->8174 / capacidade = 7, fluxo = 7
1-->8206 / capacidade = 15, fluxo = 15
1-->8451 / capacidade = 8, fluxo = 8
1-->8502 / capacidade = 13, fluxo = 13
1-->8546 / capacidade = 6, fluxo = 6
1-->8589 / capacidade = 2, fluxo = 2
1-->8594 / capacidade = 11, fluxo = 11
1-->8627 / capacidade = 10, fluxo = 10
1-->8694 / capacidade = 2, fluxo = 2
1-->8701 / capacidade = 15, fluxo = 15
1-->8705 / capacidade = 7, fluxo = 7
1-->8765 / capacidade = 4, fluxo = 4
1-->8898 / capacidade = 9, fluxo = 9
1-->9032 / capacidade = 2, fluxo = 2
1-->9101 / capacidade = 20, fluxo = 20
1-->9111 / capacidade = 15, fluxo = 15
1-->9229 / capacidade = 1, fluxo = 1
1-->9291 / capacidade = 16, fluxo = 16
1-->9448 / capacidade = 8, fluxo = 8
1-->9470 / capacidade = 16, fluxo = 16
1-->9502 / capacidade = 1, fluxo = 1
1-->9535 / capacidade = 15, fluxo = 15
1-->9699 / capacidade = 2, fluxo = 2
1-->9804 / capacidade = 8, fluxo = 8
19-->9809 / capacidade = 4, fluxo = 4
25-->3632 / capacidade = 17, fluxo = 3
40-->2 / capacidade = 15, fluxo = 7
70-->6253 / capacidade = 12, fluxo = 2
83-->6583 / capacidade = 14, fluxo = 4
100-->1995 / capacidade = 8, fluxo = 7
105-->606 / capacidade = 15, fluxo = 4
105-->6677 / capacidade = 8, fluxo = 5
106-->4337 / capacidade = 17, fluxo = 6
121-->2 / capacidade = 17, fluxo = 17
122-->1529 / capacidade = 20, fluxo = 1
122-->3532 / capacidade = 6, fluxo = 6
129-->604 / capacidade = 4, fluxo = 4
129-->2800 / capacidade = 6, fluxo = 5
171-->1925 / capacidade = 9, fluxo = 4
173-->8710 / capacidade = 17, fluxo = 1
176-->563 / capacidade = 2, fluxo = 2
188-->121 / capacidade = 16, fluxo = 1
196-->2066 / capacidade = 10, fluxo = 4
205-->7887 / capacidade = 12, fluxo = 3
230-->4563 / capacidade = 17, fluxo = 2
234-->8710 / capacidade = 10, fluxo = 2
237-->4956 / capacidade = 14, fluxo = 1
237-->5643 / capacidade = 8, fluxo = 3
237-->9811 / capacidade = 7, fluxo = 7
239-->293 / capacidade = 15, fluxo = 1
239-->8756 / capacidade = 14, fluxo = 8
255-->4106 / capacidade = 3, fluxo = 3
259-->4320 / capacidade = 18, fluxo = 3
271-->781 / capacidade = 10, fluxo = 1
271-->1657 / capacidade = 6, fluxo = 6
271-->4696 / capacidade = 1, fluxo = 1
283-->7798 / capacidade = 12, fluxo = 8
284-->2 / capacidade = 3, fluxo = 3
293-->2 / capacidade = 9, fluxo = 9
336-->5587 / capacidade = 4, fluxo = 4
339-->9902 / capacidade = 7, fluxo = 2
383-->8481 / capacidade = 19, fluxo = 4
383-->8945 / capacidade = 20, fluxo = 2
384-->2074 / capacidade = 3, fluxo = 2
406-->5217 / capacidade = 9, fluxo = 7
410-->4095 / capacidade = 10, fluxo = 9
419-->2 / capacidade = 13, fluxo = 13
435-->4614 / capacidade = 14, fluxo = 2
456-->9389 / capacidade = 19, fluxo = 3
463-->9726 / capacidade = 15, fluxo = 4
464-->2 / capacidade = 11, fluxo = 6
472-->1032 / capacidade = 4, fluxo = 1
498-->1504 / capacidade = 20, fluxo = 3
498-->3401 / capacidade = 11, fluxo = 1
498-->4726 / capacidade = 15, fluxo = 1
523-->9862 / capacidade = 17, fluxo = 1
529-->8295 / capacidade = 16, fluxo = 8
555-->7605 / capacidade = 8, fluxo = 5
563-->2 / capacidade = 19, fluxo = 13
585-->8217 / capacidade = 7, fluxo = 2
591-->121 / capacidade = 19, fluxo = 9
593-->2365 / capacidade = 20, fluxo = 3
604-->6253 / capacidade = 5, fluxo = 4
606-->4107 / capacidade = 6, fluxo = 4
644-->5483 / capacidade = 13, fluxo = 1
644-->7155 / capacidade = 7, fluxo = 5
646-->2506 / capacidade = 15, fluxo = 15
652-->4695 / capacidade = 16, fluxo = 3
662-->8130 / capacidade = 11, fluxo = 5
675-->2458 / capacidade = 18, fluxo = 1
675-->7597 / capacidade = 6, fluxo = 4
680-->1534 / capacidade = 17, fluxo = 13
686-->5324 / capacidade = 2, fluxo = 1
731-->8295 / capacidade = 9, fluxo = 2
740-->2701 / capacidade = 18, fluxo = 3
742-->8756 / capacidade = 9, fluxo = 6
781-->523 / capacidade = 12, fluxo = 1
828-->2819 / capacidade = 19, fluxo = 5
860-->7269 / capacidade = 12, fluxo = 5
872-->2 / capacidade = 3, fluxo = 3
879-->4593 / capacidade = 12, fluxo = 1
919-->2 / capacidade = 3, fluxo = 3
924-->1432 / capacidade = 17, fluxo = 3
924-->9292 / capacidade = 10, fluxo = 1
939-->9817 / capacidade = 2, fluxo = 2
949-->3223 / capacidade = 12, fluxo = 3
949-->4990 / capacidade = 19, fluxo = 1
954-->2541 / capacidade = 13, fluxo = 5
995-->83 / capacidade = 13, fluxo = 4
995-->3215 / capacidade = 12, fluxo = 12
995-->4444 / capacidade = 6, fluxo = 1
1001-->293 / capacidade = 3, fluxo = 3
1021-->6482 / capacidade = 13, fluxo = 2
1032-->2 / capacidade = 12, fluxo = 12
1040-->2195 / capacidade = 17, fluxo = 13
1040-->2881 / capacidade = 11, fluxo = 1
1040-->3310 / capacidade = 11, fluxo = 2
1065-->3232 / capacidade = 18, fluxo = 2
1070-->4937 / capacidade = 17, fluxo = 9
1074-->2443 / capacidade = 5, fluxo = 4
1074-->3324 / capacidade = 1, fluxo = 1
1075-->652 / capacidade = 3, fluxo = 3
1075-->5667 / capacidade = 1, fluxo = 1
1075-->6382 / capacidade = 20, fluxo = 3
1080-->2458 / capacidade = 1, fluxo = 1
1080-->2489 / capacidade = 10, fluxo = 4
1080-->3894 / capacidade = 9, fluxo = 1
1097-->6520 / capacidade = 1, fluxo = 1
1097-->7983 / capacidade = 11, fluxo = 11
1106-->2 / capacidade = 20, fluxo = 1
1117-->1801 / capacidade = 17, fluxo = 10
1122-->1412 / capacidade = 17, fluxo = 10
1125-->4389 / capacidade = 14, fluxo = 2
1135-->2 / capacidade = 5, fluxo = 5
1176-->5403 / capacidade = 9, fluxo = 1
1194-->2788 / capacidade = 11, fluxo = 1
1194-->2968 / capacidade = 12, fluxo = 1
1197-->2 / capacidade = 5, fluxo = 5
1261-->3243 / capacidade = 11, fluxo = 2
1263-->406 / capacidade = 5, fluxo = 4
1283-->2 / capacidade = 11, fluxo = 3
1303-->3232 / capacidade = 13, fluxo = 3
1318-->919 / capacidade = 19, fluxo = 1
1327-->2275 / capacidade = 19, fluxo = 5
1354-->7254 / capacidade = 18, fluxo = 5
1402-->8962 / capacidade = 3, fluxo = 3
1410-->2303 / capacidade = 6, fluxo = 3
1412-->2 / capacidade = 10, fluxo = 10
1422-->5703 / capacidade = 17, fluxo = 7
1429-->3642 / capacidade = 20, fluxo = 1
1432-->1632 / capacidade = 10, fluxo = 3
1435-->2 / capacidade = 12, fluxo = 2
1441-->284 / capacidade = 3, fluxo = 3
1442-->1070 / capacidade = 11, fluxo = 9
1442-->8707 / capacidade = 12, fluxo = 6
1469-->7225 / capacidade = 8, fluxo = 3
1504-->2 / capacidade = 8, fluxo = 8
1528-->7824 / capacidade = 4, fluxo = 4
1529-->4990 / capacidade = 20, fluxo = 1
1534-->2 / capacidade = 14, fluxo = 14
1572-->1528 / capacidade = 15, fluxo = 4
1572-->2099 / capacidade = 13, fluxo = 1
1572-->3487 / capacidade = 10, fluxo = 2
1583-->2 / capacidade = 11, fluxo = 10
1598-->2 / capacidade = 7, fluxo = 7
1617-->6482 / capacidade = 13, fluxo = 4
1632-->6797 / capacidade = 4, fluxo = 3
1642-->3617 / capacidade = 7, fluxo = 7
1652-->2275 / capacidade = 9, fluxo = 5
1657-->7992 / capacidade = 19, fluxo = 7
1662-->9374 / capacidade = 4, fluxo = 4
1697-->406 / capacidade = 4, fluxo = 3
1702-->3205 / capacidade = 15, fluxo = 2
1706-->4696 / capacidade = 16, fluxo = 3
1725-->4133 / capacidade = 8, fluxo = 4
1727-->2 / capacidade = 15, fluxo = 15
1740-->129 / capacidade = 9, fluxo = 9
1740-->339 / capacidade = 8, fluxo = 2
1740-->7126 / capacidade = 5, fluxo = 5
1750-->2 / capacidade = 6, fluxo = 6
1771-->9289 / capacidade = 13, fluxo = 4
1796-->1598 / capacidade = 7, fluxo = 3
1801-->2 / capacidade = 20, fluxo = 20
1814-->3103 / capacidade = 9, fluxo = 9
1819-->1657 / capacidade = 15, fluxo = 1
1819-->9554 / capacidade = 17, fluxo = 2
1825-->3103 / capacidade = 8, fluxo = 8
1825-->3232 / capacidade = 12, fluxo = 5
1863-->1908 / capacidade = 17, fluxo = 2
1881-->1032 / capacidade = 5, fluxo = 5
1882-->2 / capacidade = 14, fluxo = 14
1886-->3695 / capacidade = 8, fluxo = 7
1891-->1995 / capacidade = 1, fluxo = 1
1891-->2275 / capacidade = 6, fluxo = 1
1908-->2 / capacidade = 17, fluxo = 17
1908-->4990 / capacidade = 16, fluxo = 1
1910-->8710 / capacidade = 7, fluxo = 2
1913-->2 / capacidade = 9, fluxo = 3
1919-->8534 / capacidade = 12, fluxo = 7
1925-->2 / capacidade = 14, fluxo = 9
1932-->1945 / capacidade = 7, fluxo = 7
1932-->4239 / capacidade = 15, fluxo = 3
1937-->5587 / capacidade = 12, fluxo = 3
1939-->5324 / capacidade = 7, fluxo = 4
1945-->40 / capacidade = 17, fluxo = 7
1946-->593 / capacidade = 3, fluxo = 3
1946-->1469 / capacidade = 6, fluxo = 3
1946-->1886 / capacidade = 18, fluxo = 7
1946-->2828 / capacidade = 3, fluxo = 3
1965-->7887 / capacidade = 11, fluxo = 1
1968-->8818 / capacidade = 11, fluxo = 4
1974-->8097 / capacidade = 17, fluxo = 3
1992-->4673 / capacidade = 10, fluxo = 1
1995-->2 / capacidade = 11, fluxo = 11
2001-->1882 / capacidade = 20, fluxo = 11
2013-->2 / capacidade = 5, fluxo = 5
2028-->1303 / capacidade = 17, fluxo = 3
2030-->5403 / capacidade = 17, fluxo = 12
2033-->1937 / capacidade = 5, fluxo = 3
2037-->2303 / capacidade = 3, fluxo = 3
2044-->6797 / capacidade = 3, fluxo = 1
2044-->8295 / capacidade = 11, fluxo = 2
2050-->563 / capacidade = 11, fluxo = 8
2066-->3232 / capacidade = 12, fluxo = 4
2072-->5218 / capacidade = 12, fluxo = 1
2074-->6552 / capacidade = 4, fluxo = 2
2091-->2669 / capacidade = 11, fluxo = 8
2091-->3201 / capacidade = 14, fluxo = 8
2097-->2335 / capacidade = 8, fluxo = 3
2099-->1814 / capacidade = 4, fluxo = 1
2101-->1106 / capacidade = 2, fluxo = 1
2127-->7353 / capacidade = 12, fluxo = 8
2142-->2 / capacidade = 3, fluxo = 1
2145-->2 / capacidade = 18, fluxo = 11
2152-->954 / capacidade = 8, fluxo = 1
2181-->7385 / capacidade = 4, fluxo = 1
2195-->9031 / capacidade = 13, fluxo = 13
2201-->2 / capacidade = 6, fluxo = 6
2203-->6496 / capacidade = 20, fluxo = 6
2218-->2 / capacidade = 12, fluxo = 12
2219-->8910 / capacidade = 11, fluxo = 9
2244-->1863 / capacidade = 3, fluxo = 2
2254-->1001 / capacidade = 14, fluxo = 3
2254-->1662 / capacidade = 12, fluxo = 4
2254-->2218 / capacidade = 12, fluxo = 3
2254-->5535 / capacidade = 12, fluxo = 1
2275-->2 / capacidade = 19, fluxo = 19
2280-->4079 / capacidade = 17, fluxo = 6
2282-->7200 / capacidade = 11, fluxo = 3
2294-->3209 / capacidade = 19, fluxo = 4
2302-->2784 / capacidade = 13, fluxo = 2
2303-->2 / capacidade = 7, fluxo = 6
2306-->1032 / capacidade = 15, fluxo = 5
2319-->1825 / capacidade = 17, fluxo = 13
