Fluxo máximo: 26360
1-->8048 / capacidade = 669, fluxo = 669
1-->10190 / capacidade = 14, fluxo = 14
1-->14620 / capacidade = 33, fluxo = 33
1-->92482 / capacidade = 69, fluxo = 69
1-->120726 / capacidade = 968, fluxo = 968
1-->127536 / capacidade = 147, fluxo = 147
1-->128770 / capacidade = 617, fluxo = 617
1-->131921 / capacidade = 481, fluxo = 481
1-->178609 / capacidade = 370, fluxo = 370
1-->188615 / capacidade = 661, fluxo = 661
1-->193539 / capacidade = 581, fluxo = 581
1-->267803 / capacidade = 484, fluxo = 484
1-->283924 / capacidade = 337, fluxo = 337
1-->293260 / capacidade = 406, fluxo = 406
1-->322636 / capacidade = 932, fluxo = 932
1-->325054 / capacidade = 585, fluxo = 585
1-->358881 / capacidade = 175, fluxo = 175
1-->498883 / capacidade = 164, fluxo = 164
1-->616332 / capacidade = 508, fluxo = 422
1-->631258 / capacidade = 392, fluxo = 392
1-->632362 / capacidade = 189, fluxo = 189
1-->689068 / capacidade = 49, fluxo = 49
1-->735132 / capacidade = 234, fluxo = 234
1-->789172 / capacidade = 148, fluxo = 148
1-->792359 / capacidade = 373, fluxo = 373
1-->831748 / capacidade = 725, fluxo = 725
1-->899246 / capacidade = 897, fluxo = 897
1-->917128 / capacidade = 558, fluxo = 558
1-->932486 / capacidade = 235, fluxo = 235
1-->940381 / capacidade = 913, fluxo = 913
1-->968917 / capacidade = 362, fluxo = 362
1-->1021286 / capacidade = 100, fluxo = 100
1-->1026439 / capacidade = 809, fluxo = 809
1-->1040250 / capacidade = 287, fluxo = 287
1-->1182163 / capacidade = 616, fluxo = 616
1-->1182245 / capacidade = 489, fluxo = 489
1-->1229610 / capacidade = 537, fluxo = 537
1-->1265762 / capacidade = 223, fluxo = 223
1-->1289253 / capacidade = 532, fluxo = 532
1-->1366908 / capacidade = 196, fluxo = 196
1-->1524529 / capacidade = 462, fluxo = 462
1-->1651198 / capacidade = 174, fluxo = 174
1-->1686985 / capacidade = 890, fluxo = 890
1-->1691576 / capacidade = 925, fluxo = 925
1-->1743634 / capacidade = 751, fluxo = 751
1-->1842586 / capacidade = 385, fluxo = 385
1-->1856478 / capacidade = 315, fluxo = 315
1-->1883041 / capacidade = 555, fluxo = 555
1-->1887961 / capacidade = 950, fluxo = 950
1-->1902848 / capacidade = 967, fluxo = 967
1-->1935307 / capacidade = 453, fluxo = 453
1-->1935738 / capacidade = 828, fluxo = 828
1-->1938767 / capacidade = 792, fluxo = 792
1-->1980696 / capacidade = 934, fluxo = 934
466-->1104465 / capacidade = 888, fluxo = 262
466-->1442806 / capacidade = 510, fluxo = 13
7420-->1229865 / capacidade = 986, fluxo = 168
8048-->365294 / capacidade = 17, fluxo = 17
8048-->378994 / capacidade = 415, fluxo = 256
8048-->469443 / capacidade = 358, fluxo = 115
8048-->1419275 / capacidade = 113, fluxo = 113
8048-->1762455 / capacidade = 728, fluxo = 168
10190-->1441828 / capacidade = 188, fluxo = 14
10964-->150663 / capacidade = 494, fluxo = 327
11397-->396693 / capacidade = 440, fluxo = 404
11397-->1827678 / capacidade = 800, fluxo = 93
12208-->1829153 / capacidade = 472, fluxo = 63
14620-->587616 / capacidade = 861, fluxo = 33
14696-->2 / capacidade = 815, fluxo = 815
14867-->1072700 / capacidade = 445, fluxo = 66
20675-->700091 / capacidade = 124, fluxo = 124
23637-->1556919 / capacidade = 724, fluxo = 201
23716-->125192 / capacidade = 511, fluxo = 8
23979-->1705354 / capacidade = 505, fluxo = 108
24054-->187521 / capacidade = 464, fluxo = 55
24259-->1935374 / capacidade = 897, fluxo = 92
24644-->177815 / capacidade = 823, fluxo = 140
24718-->835776 / capacidade = 123, fluxo = 34
25970-->65883 / capacidade = 994, fluxo = 20
26858-->408209 / capacidade = 148, fluxo = 53
27186-->172108 / capacidade = 941, fluxo = 12
32061-->1941919 / capacidade = 515, fluxo = 2
32431-->1864125 / capacidade = 551, fluxo = 199
32762-->808880 / capacidade = 204, fluxo = 63
34610-->2 / capacidade = 190, fluxo = 190
36928-->99455 / capacidade = 372, fluxo = 79
37585-->1091707 / capacidade = 173, fluxo = 69
38945-->485964 / capacidade = 849, fluxo = 96
39018-->1638463 / capacidade = 645, fluxo = 26
40614-->925917 / capacidade = 286, fluxo = 111
43194-->1339422 / capacidade = 744, fluxo = 46
45070-->1693783 / capacidade = 605, fluxo = 48
50255-->150868 / capacidade = 836, fluxo = 60
50255-->169473 / capacidade = 401, fluxo = 401
50567-->1357877 / capacidade = 690, fluxo = 67
51899-->1607170 / capacidade = 921, fluxo = 40
54043-->216439 / capacidade = 904, fluxo = 27
55454-->76056 / capacidade = 887, fluxo = 2
56951-->528045 / capacidade = 217, fluxo = 70
58557-->2 / capacidade = 356, fluxo = 356
59505-->619256 / capacidade = 329, fluxo = 127
60699-->1308621 / capacidade = 14, fluxo = 13
60729-->836132 / capacidade = 418, fluxo = 34
62751-->190175 / capacidade = 892, fluxo = 103
62751-->824692 / capacidade = 45, fluxo = 45
63873-->90002 / capacidade = 172, fluxo = 79
65778-->737010 / capacidade = 627, fluxo = 59
65778-->847675 / capacidade = 588, fluxo = 173
65883-->299144 / capacidade = 191, fluxo = 20
68772-->2 / capacidade = 845, fluxo = 96
70550-->2 / capacidade = 146, fluxo = 146
71952-->570164 / capacidade = 43, fluxo = 31
76056-->285035 / capacidade = 251, fluxo = 2
77640-->1990965 / capacidade = 498, fluxo = 16
78596-->1172965 / capacidade = 442, fluxo = 149
79412-->2 / capacidade = 173, fluxo = 173
81058-->2 / capacidade = 419, fluxo = 419
83991-->1941338 / capacidade = 352, fluxo = 5
84002-->306025 / capacidade = 863, fluxo = 63
84203-->23979 / capacidade = 615, fluxo = 108
86061-->528045 / capacidade = 527, fluxo = 217
86216-->230017 / capacidade = 371, fluxo = 48
87330-->1934018 / capacidade = 504, fluxo = 43
87518-->1833497 / capacidade = 414, fluxo = 18
87586-->1684543 / capacidade = 933, fluxo = 63
90002-->1504428 / capacidade = 694, fluxo = 79
90949-->1578213 / capacidade = 500, fluxo = 327
92482-->1259002 / capacidade = 539, fluxo = 69
92756-->629183 / capacidade = 179, fluxo = 25
93113-->363411 / capacidade = 857, fluxo = 38
99455-->63873 / capacidade = 681, fluxo = 79
102704-->1778405 / capacidade = 42, fluxo = 42
103232-->1767320 / capacidade = 284, fluxo = 60
103529-->263482 / capacidade = 351, fluxo = 15
103529-->1357744 / capacidade = 310, fluxo = 100
103630-->819278 / capacidade = 513, fluxo = 19
105507-->121399 / capacidade = 812, fluxo = 222
105706-->389389 / capacidade = 962, fluxo = 199
105755-->425438 / capacidade = 446, fluxo = 182
105755-->1567410 / capacidade = 300, fluxo = 32
107063-->1874125 / capacidade = 496, fluxo = 42
110558-->77640 / capacidade = 604, fluxo = 16
113081-->812404 / capacidade = 762, fluxo = 135
114367-->1608097 / capacidade = 785, fluxo = 348
115790-->1454704 / capacidade = 720, fluxo = 34
117038-->1263003 / capacidade = 425, fluxo = 187
117147-->667656 / capacidade = 786, fluxo = 106
117403-->294416 / capacidade = 134, fluxo = 39
117575-->1025088 / capacidade = 49, fluxo = 49
120641-->708343 / capacidade = 4, fluxo = 4
120726-->55454 / capacidade = 728, fluxo = 2
120726-->209875 / capacidade = 877, fluxo = 31
120726-->465908 / capacidade = 232, fluxo = 27
120726-->556195 / capacidade = 184, fluxo = 184
120726-->694838 / capacidade = 647, fluxo = 244
120726-->708319 / capacidade = 732, fluxo = 228
120726-->1064354 / capacidade = 229, fluxo = 111
120726-->1471753 / capacidade = 282, fluxo = 141
121399-->500620 / capacidade = 617, fluxo = 222
121627-->2 / capacidade = 111, fluxo = 111
124319-->364315 / capacidade = 997, fluxo = 130
125192-->388157 / capacidade = 622, fluxo = 8
127536-->456312 / capacidade = 122, fluxo = 122
127536-->699045 / capacidade = 383, fluxo = 25
128770-->890463 / capacidade = 657, fluxo = 180
128770-->1233209 / capacidade = 796, fluxo = 267
128770-->1346603 / capacidade = 152, fluxo = 152
128770-->1447166 / capacidade = 797, fluxo = 18
131455-->2 / capacidade = 756, fluxo = 103
131921-->496180 / capacidade = 963, fluxo = 164
131921-->1341789 / capacidade = 728, fluxo = 220
131921-->1487713 / capacidade = 494, fluxo = 97
135308-->593379 / capacidade = 583, fluxo = 123
135327-->478357 / capacidade = 643, fluxo = 117
135538-->440842 / capacidade = 500, fluxo = 37
135718-->715000 / capacidade = 345, fluxo = 3
135956-->1002204 / capacidade = 326, fluxo = 96
137356-->1516962 / capacidade = 126, fluxo = 126
137901-->135538 / capacidade = 483, fluxo = 37
137901-->288321 / capacidade = 976, fluxo = 5
138194-->903810 / capacidade = 175, fluxo = 175
138194-->1687999 / capacidade = 841, fluxo = 170
145139-->706440 / capacidade = 608, fluxo = 19
145905-->2 / capacidade = 873, fluxo = 249
146874-->1843978 / capacidade = 923, fluxo = 155
146921-->738620 / capacidade = 251, fluxo = 251
147009-->1024957 / capacidade = 425, fluxo = 73
150663-->327888 / capacidade = 529, fluxo = 327
150868-->103232 / capacidade = 169, fluxo = 60
151492-->314434 / capacidade = 758, fluxo = 69
